Current Time (ns), Interval (ns)
1780070273570846076, 0
1780070273571572223, 726147
1780070273573577099, 2004876
1780070273574570916, 993817
1780070273575575814, 1004898
1780070273577579027, 2003213
1780070273581572680, 3993653
1780070273583190022, 1617342
1780070273583665029, 475007
1780070273584574529, 909500
1780070273585572013, 997484
1780070273586809084, 1237071
1780070273591004875, 4195791
1780070273591132012, 127137
1780070273591257978, 125966
1780070273591380506, 122528
1780070273591679525, 299019
1780070273592577513, 897988
1780070273593576447, 998934
1780070273594700107, 1123660
1780070273595705105, 1004998
1780070273596574489, 869384
1780070273597573476, 998987
1780070273598572295, 998819
1780070273599661580, 1089285
1780070273600611896, 950316
1780070273601590825, 978929
1780070273602581627, 990802
1780070273603575314, 993687
1780070273604572467, 997153
1780070273605636736, 1064269
1780070273606647314, 1010578
1780070273607609181, 961867
1780070273608648684, 1039503
1780070273609599961, 951277
1780070273610571677, 971716
1780070273611567338, 995661
1780070273612564962, 997624
1780070273613562305, 997343
1780070273614562023, 999718
1780070273615562653, 1000630
1780070273616561429, 998776
1780070273617562249, 1000820
1780070273618566696, 1004447
1780070273619563068, 996372
1780070273620565621, 1002553
1780070273621565119, 999498
1780070273622564637, 999518
1780070273623564906, 1000269
1780070273624565696, 1000790
1780070273625565795, 1000099
1780070273626565773, 999978
1780070273627565431, 999658
1780070273628561032, 995601
1780070273629565238, 1004206
1780070273630565667, 1000429
1780070273631565626, 999959
1780070273632564562, 998936
1780070273633565643, 1001081
1780070273634566233, 1000590
1780070273635563927, 997694
1780070273636565729, 1001802
1780070273637566078, 1000349
1780070273638564244, 998166
1780070273639565835, 1001591
1780070273640565924, 1000089
1780070273641566594, 1000670
1780070273642566161, 999567
1780070273643575297, 1009136
1780070273644566008, 990711
1780070273645568391, 1002383
1780070273646567017, 998626
1780070273647564912, 997895
1780070273648568126, 1003214
1780070273649567925, 999799
1780070273650566501, 998576
1780070273651567792, 1001291
1780070273652568011, 1000219
1780070273653567388, 999377
1780070273654567777, 1000389
1780070273655567516, 999739
1780070273656561763, 994247
1780070273657565549, 1003786
1780070273658565558, 1000009
1780070273659565486, 999928
1780070273660578476, 1012990
1780070273661565200, 986724
1780070273662568094, 1002894
1780070273663568072, 999978
1780070273664566778, 998706
1780070273665565785, 999007
1780070273666567597, 1001812
1780070273667566965, 999368
1780070273668574167, 1007202
1780070273669566341, 992174
1780070273670564897, 998556
1780070273671565627, 1000730
1780070273672565735, 1000108
1780070273673570282, 1004547
1780070273675574758, 2004476
1780070273676569176, 994418
1780070273677567291, 998115
1780070273678566789, 999498
1780070273679567018, 1000229
1780070273680564021, 997003
1780070273681566654, 1002633
1780070273682565811, 999157
1780070273683566712, 1000901
1780070273684566400, 999688
1780070273685567731, 1001331
1780070273686566387, 998656
1780070273687566195, 999808
1780070273688563659, 997464
1780070273689566342, 1002683
1780070273690568645, 1002303
1780070273691567011, 998366
1780070273692567360, 1000349
1780070273693566327, 998967
1780070273694566375, 1000048
1780070273695566574, 1000199
1780070273696564359, 997785
1780070273697565610, 1001251
1780070273698565087, 999477
1780070273699562691, 997604
1780070273700560856, 998165
1780070273701565373, 1004517
1780070273702564280, 998907
1780070273703564539, 1000259
1780070273704565119, 1000580
1780070273705565228, 1000109
1780070273706564535, 999307
1780070273707564704, 1000169
1780070273708563751, 999047
1780070273709563879, 1000128
1780070273710560231, 996352
1780070273711563937, 1003706
1780070273712567031, 1003094
1780070273713566919, 999888
1780070273714568461, 1001542
1780070273715564031, 995570
1780070273716566585, 1002554
1780070273717567254, 1000669
1780070273718567223, 999969
1780070273719567442, 1000219
1780070273720566198, 998756
1780070273721566046, 999848
1780070273722567558, 1001512
1780070273723566785, 999227
1780070273724566744, 999959
1780070273725566161, 999417
1780070273726566630, 1000469
1780070273727566839, 1000209
1780070273728565526, 998687
1780070273729566907, 1001381
1780070273730566204, 999297
1780070273731566072, 999868
1780070273732567073, 1001001
1780070273733567753, 1000680
1780070273734567210, 999457
1780070273735567319, 1000109
1780070273736561557, 994238
1780070273737563960, 1002403
1780070273738564690, 1000730
1780070273739564368, 999678
1780070273740564126, 999758
1780070273741564505, 1000379
1780070273742564514, 1000009
1780070273743564743, 1000229
1780070273744564501, 999758
1780070273745564600, 1000099
1780070273746565280, 1000680
1780070273747564076, 998796
1780070273748564726, 1000650
1780070273749904893, 1340167
1780070273750576869, 671976
1780070273752789012, 2212143
1780070273752932831, 143819
1780070273754754545, 1821714
1780070273754899957, 145412
1780070273755571632, 671675
1780070273757757135, 2185503
1780070273757899742, 142607
1780070273758580264, 680522
1780070273759575791, 995527
1780070273760562855, 987064
1780070273762104436, 1541581
1780070273762567982, 463546
1780070273763567870, 999888
1780070273764567558, 999688
1780070273765566776, 999218
1780070273766566804, 1000028
1780070273767562314, 995510
1780070273768565088, 1002774
1780070273769566169, 1001081
1780070273770566147, 999978
1780070273771565906, 999759
1780070273772565543, 999637
1780070273773565242, 999699
1780070273774577837, 1012595
1780070273775570121, 992284
1780070273776569147, 999026
1780070273777561722, 992575
1780070273778566590, 1004868
1780070273779566017, 999427
1780070273780564623, 998606
1780070273781566145, 1001522
1780070273782563418, 997273
