Current Time (ns), Interval (ns)
1780296649983400101, 0
1780296649984436873, 1036772
1780296649985434568, 997695
1780296649986410438, 975870
1780296649987434092, 1023654
1780296649988451108, 1017016
1780296649989454907, 1003799
1780296649990444744, 989837
1780296649991538483, 1093739
1780296649992444998, 906515
1780296649993442604, 997606
1780296649994447164, 1004560
1780296649995575100, 1127936
1780296649996446666, 871566
1780296649997442076, 995410
1780296649998444979, 1002903
1780296649999574020, 1129041
1780296650000433882, 859862
1780296650001449347, 1015465
1780296650002441861, 992514
1780296650003577981, 1136120
1780296650004444273, 866292
1780296650005428981, 984708
1780296650006444237, 1015256
1780296650007570912, 1126675
1780296650008444903, 873991
1780296650009442304, 997401
1780296650010462402, 1020098
1780296650011453353, 990951
1780296650012453482, 1000129
1780296650013451884, 998402
1780296650014447489, 995605
1780296650015561330, 1113841
1780296650016454039, 892709
1780296650017453492, 999453
1780296650018450148, 996656
1780296650019581511, 1131363
1780296650020448978, 867467
1780296650021451041, 1002063
1780296650022449168, 998127
1780296650023581829, 1132661
1780296650024451921, 870092
1780296650025449247, 997326
1780296650026433603, 984356
1780296650027581410, 1147807
1780296650028434438, 853028
1780296650029451994, 1017556
1780296650030449396, 997402
1780296650031581184, 1131788
1780296650032450143, 868959
1780296650033437362, 987219
1780296650034449195, 1011833
1780296650035448320, 999125
1780296650036602511, 1154191
1780296650037453048, 850537
1780296650038453748, 1000700
1780296650039581278, 1127530
1780296650040454511, 873233
1780296650041453328, 998817
1780296650042453844, 1000516
1780296650043450999, 997155
1780296650044595921, 1144922
1780296650045450431, 854510
1780296650046465256, 1014825
1780296650047578178, 1112922
1780296650048461781, 883603
1780296650049441794, 980013
1780296650050452672, 1010878
1780296650051601988, 1149316
1780296650052451562, 849574
1780296650053451697, 1000135
1780296650054454159, 1002462
1780296650055601277, 1147118
1780296650056453146, 851869
1780296650057594829, 1141683
1780296650058455568, 860739
1780296650059597638, 1142070
1780296650060447992, 850354
1780296650061453684, 1005692
1780296650062455891, 1002207
1780296650063597143, 1141252
1780296650064450762, 853619
1780296650065455653, 1004891
1780296650066449504, 993851
1780296650067549439, 1099935
1780296650068453294, 903855
1780296650069600113, 1146819
1780296650070452848, 852735
1780296650071601146, 1148298
1780296650072452489, 851343
1780296650073594654, 1142165
1780296650074458477, 863823
1780296650075451169, 992692
1780296650076449164, 997995
1780296650077597559, 1148395
1780296650078455796, 858237
1780296650079455483, 999687
1780296650080451307, 995824
